2025-01-13 12:23:06.996, Program Started
2025-01-13 12:23:07.129, .226000
2025-01-13 12:23:19.715, Z Accel:, 1020.713000
2025-01-13 12:23:19.775, X Accel:, -0.976000
2025-01-13 12:23:19.841, Y Accel:, 17.446000
2025-01-13 12:23:19.913, Z Accel:, 1021.079000
2025-01-13 12:23:19.979, X Accel:, -0.854000
2025-01-13 12:23:20.039, Y Accel:, 18.361000
2025-01-13 12:23:20.111, Z Accel:, 1020.835000
2025-01-13 12:23:20.178, X Accel:, -0.427000
2025-01-13 12:23:20.238, Y Accel:, 16.531000
2025-01-13 12:23:20.310, Z Accel:, 1020.591000
2025-01-13 12:23:20.376, X Accel:, -2.074000
2025-01-13 12:23:20.442, Y Accel:, 17.141000
2025-01-13 12:23:20.507, Z Accel:, 1020.591000
2025-01-13 12:23:20.574, X Accel:, -3.050000
2025-01-13 12:23:20.640, Y Accel:, 16.104000
2025-01-13 12:23:20.706, Z Accel:, 1020.835000
2025-01-13 12:23:20.771, X Accel:, -2.257000
2025-01-13 12:23:20.838, Y Accel:, 15.982000
2025-01-13 12:23:20.910, Z Accel:, 1020.469000
2025-01-13 12:23:20.970, X Accel:, -1.830000
2025-01-13 12:23:21.036, Y Accel:, 17.812000
2025-01-13 12:23:21.108, Z Accel:, 1020.896000
2025-01-13 12:23:21.168, X Accel:, -2.440000
2025-01-13 12:23:21.234, Y Accel:, 17.080000
2025-01-13 12:23:21.306, Z Accel:, 1020.469000
2025-01-13 12:23:21.366, X Accel:, -1.464000
2025-01-13 12:23:21.432, Y Accel:, 17.080000
2025-01-13 12:23:21.499, Z Accel:, -7.747000
2025-01-13 12:23:21.558, X Accel:, -3.965000
2025-01-13 12:23:21.625, Y Accel:, 16.531000
2025-01-13 12:23:21.691, Z Accel:, -7.320000
2025-01-13 12:23:21.758, X Accel:, -5.978000
2025-01-13 12:23:21.817, Y Accel:, 20.801000
2025-01-13 12:23:21.884, Z Accel:, -2.379000
2025-01-13 12:23:21.950, X Accel:, -3.416000
2025-01-13 12:23:22.010, Y Accel:, 17.873000
2025-01-13 12:23:22.082, Z Accel:, 1019.371000
2025-01-13 12:23:22.148, X Accel:, -6.100000
2025-01-13 12:23:22.208, Y Accel:, 18.544000
2025-01-13 12:23:22.280, Z Accel:, 1017.907000
2025-01-13 12:23:22.346, X Accel:, -5.795000
2025-01-13 12:23:22.412, Y Accel:, 20.130000
2025-01-13 12:23:22.478, Z Accel:, 1021.384000
2025-01-13 12:23:22.547, X Accel:, -23.851000
2025-01-13 12:23:22.613, Y Accel:, 19.581000
2025-01-13 12:23:22.679, Z Accel:, 1020.713000
2025-01-13 12:23:22.748, X Accel:, -23.912000
2025-01-13 12:23:22.813, Y Accel:, 20.313000
2025-01-13 12:23:22.880, Z Accel:, -6.283000
2025-01-13 12:23:22.943, X Accel:, -25.620000
2025-01-13 12:23:23.009, Y Accel:, 20.557000
2025-01-13 12:23:23.075, Z Accel:, -7.259000
2025-01-13 12:23:23.138, X Accel:, -23.668000
2025-01-13 12:23:23.204, Y Accel:, 19.337000
2025-01-13 12:23:23.276, Z Accel:, 1021.140000
2025-01-13 12:23:23.336, X Accel:, -6.283000
2025-01-13 12:23:23.402, Y Accel:, 18.300000
2025-01-13 12:23:23.468, Z Accel:, -6.954000
2025-01-13 12:23:23.534, X Accel:, -5.124000
2025-01-13 12:23:23.594, Y Accel:, 19.093000
2025-01-13 12:23:23.660, Z Accel:, -7.259000
2025-01-13 12:23:23.727, X Accel:, -3.538000
2025-01-13 12:23:23.787, Y Accel:, 16.409000
2025-01-13 12:23:23.853, Z Accel:, -6.649000
2025-01-13 12:23:23.919, X Accel:, -2.989000
2025-01-13 12:23:23.979, Y Accel:, 16.836000
2025-01-13 12:23:24.052, Z Accel:, 1020.713000
2025-01-13 12:23:24.118, X Accel:, -2.013000
2025-01-13 12:23:24.185, Y Accel:, 16.775000
2025-01-13 12:23:24.251, Z Accel:, 1017.053000
2025-01-13 12:23:24.318, X Accel:, -2.318000
